F:\myData\IMG\center_2021_11_29_19_06_29_614.jpg,F:\myData\IMG\left_2021_11_29_19_06_29_614.jpg,F:\myData\IMG\right_2021_11_29_19_06_29_614.jpg,0,0,0,8.924848E-06
F:\myData\IMG\center_2021_11_29_19_06_29_684.jpg,F:\myData\IMG\left_2021_11_29_19_06_29_684.jpg,F:\myData\IMG\right_2021_11_29_19_06_29_684.jpg,0,0,0,3.009557E-06
F:\myData\IMG\center_2021_11_29_19_06_29_755.jpg,F:\myData\IMG\left_2021_11_29_19_06_29_755.jpg,F:\myData\IMG\right_2021_11_29_19_06_29_755.jpg,0,0,0,1.649808E-05
F:\myData\IMG\center_2021_11_29_19_06_29_828.jpg,F:\myData\IMG\left_2021_11_29_19_06_29_828.jpg,F:\myData\IMG\right_2021_11_29_19_06_29_828.jpg,-0.05,0,0,1.945692E-05
F:\myData\IMG\center_2021_11_29_19_06_29_898.jpg,F:\myData\IMG\left_2021_11_29_19_06_29_898.jpg,F:\myData\IMG\right_2021_11_29_19_06_29_898.jpg,-0.2,0.1542876,0,0.05946198
F:\myData\IMG\center_2021_11_29_19_06_29_967.jpg,F:\myData\IMG\left_2021_11_29_19_06_29_967.jpg,F:\myData\IMG\right_2021_11_29_19_06_29_967.jpg,-0.4,0.3830127,0,0.3280315
F:\myData\IMG\center_2021_11_29_19_06_30_038.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_038.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_038.jpg,-0.5500001,0.5606049,0,0.6714769
F:\myData\IMG\center_2021_11_29_19_06_30_108.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_108.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_108.jpg,-0.7500002,0.8082175,0,1.310413
F:\myData\IMG\center_2021_11_29_19_06_30_176.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_176.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_176.jpg,-0.9000002,0.9921088,0,1.930422
F:\myData\IMG\center_2021_11_29_19_06_30_247.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_247.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_247.jpg,-1,1,0,2.798924
F:\myData\IMG\center_2021_11_29_19_06_30_316.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_316.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_316.jpg,0,1,0,3.42244
F:\myData\IMG\center_2021_11_29_19_06_30_387.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_387.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_387.jpg,0,1,0,4.349112
F:\myData\IMG\center_2021_11_29_19_06_30_458.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_458.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_458.jpg,0,1,0,5.047677
F:\myData\IMG\center_2021_11_29_19_06_30_529.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_529.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_529.jpg,0,1,0,5.973027
F:\myData\IMG\center_2021_11_29_19_06_30_596.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_596.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_596.jpg,0,1,0,6.662354
F:\myData\IMG\center_2021_11_29_19_06_30_666.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_666.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_666.jpg,0,1,0,7.575191
F:\myData\IMG\center_2021_11_29_19_06_30_734.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_734.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_734.jpg,-0.15,1,0,8.250033
F:\myData\IMG\center_2021_11_29_19_06_30_806.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_806.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_806.jpg,-0.35,1,0,9.122089
F:\myData\IMG\center_2021_11_29_19_06_30_877.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_877.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_877.jpg,-0.5000001,1,0,9.753487
F:\myData\IMG\center_2021_11_29_19_06_30_950.jpg,F:\myData\IMG\left_2021_11_29_19_06_30_950.jpg,F:\myData\IMG\right_2021_11_29_19_06_30_950.jpg,-0.7,1,0,10.56175
F:\myData\IMG\center_2021_11_29_19_06_31_020.jpg,F:\myData\IMG\left_2021_11_29_19_06_31_020.jpg,F:\myData\IMG\right_2021_11_29_19_06_31_020.jpg,0,1,0,11.13434
F:\myData\IMG\center_2021_11_29_19_06_31_087.jpg,F:\myData\IMG\left_2021_11_29_19_06_31_087.jpg,F:\myData\IMG\right_2021_11_29_19_06_31_087.jpg,0,1,0,12.04329
