F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_038.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_038.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_038.jpg,0,0,0,7.502505E-06
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_106.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_106.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_106.jpg,0,0,0,9.855399E-06
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_174.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_174.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_174.jpg,0,0,0,2.237669E-06
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_244.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_244.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_244.jpg,0,0,0,8.829672E-06
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_314.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_314.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_314.jpg,0,0,0,1.749458E-05
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_382.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_382.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_382.jpg,0,0,0,1.104498E-05
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_452.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_452.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_452.jpg,0,0,0,5.36802E-07
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_521.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_521.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_521.jpg,0,0,0,7.531476E-06
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_590.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_590.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_590.jpg,0,0,0,1.233018E-05
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_659.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_659.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_659.jpg,-0.1,0.0351255,0,0.00780802
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_729.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_729.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_729.jpg,-0.3,0.2774859,0,0.1644973
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_797.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_797.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_797.jpg,-0.45,0.4508643,0,0.4467475
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_867.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_867.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_867.jpg,-0.6500001,0.6911784,0,0.9712049
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_17_935.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_17_935.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_17_935.jpg,-0.8000001,0.880419,0,1.461342
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_18_006.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_18_006.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_18_006.jpg,-1,1,0,2.29406
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_18_075.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_18_075.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_18_075.jpg,0,1,0,2.884673
F:\Virtual_Car\myData\IMG\center_2022_03_14_18_01_18_143.jpg,F:\Virtual_Car\myData\IMG\left_2022_03_14_18_01_18_143.jpg,F:\Virtual_Car\myData\IMG\right_2022_03_14_18_01_18_143.jpg,0,1,0,3.565791
